species,decimalLongitude,decimalLatitude
Lithobates catesbeianus,-77.585049,37.623776
Lithobates catesbeianus,-88.146702,30.666389
Lithobates catesbeianus,-79.413633,44.642596
Lithobates catesbeianus,-77.038907,38.483095
Lithobates catesbeianus,-90.342342,38.587202
Lithobates catesbeianus,-120.109412,37.226535
Lithobates catesbeianus,-71.624532,42.501435
Lithobates catesbeianus,-97.066956,33.146996
Lithobates catesbeianus,-101.402188,19.351971
Lithobates catesbeianus,-78.450951,38.042908
Lithobates catesbeianus,-122.492092,48.14456
Lithobates catesbeianus,-94.540955,29.614408
Lithobates catesbeianus,-71.077434,42.058146
Lithobates catesbeianus,-95.63954,36.318729
Lithobates catesbeianus,-86.408031,35.851302
Lithobates catesbeianus,-122.833425,49.256549
Lithobates catesbeianus,-81.292736,41.202092
Lithobates catesbeianus,-96.584014,40.632649
Lithobates catesbeianus,-78.684553,35.806879
Lithobates catesbeianus,-72.052544,42.842338
Lithobates catesbeianus,-78.261597,44.402236
Lithobates catesbeianus,-100.867912,32.65123
Lithobates catesbeianus,-82.76139,34.726099
Lithobates catesbeianus,-90.386838,38.703345
Lithobates catesbeianus,-123.084003,44.918457
Lithobates catesbeianus,-116.31887,32.538153
Lithobates catesbeianus,-81.915545,36.170303
Lithobates catesbeianus,-82.487492,42.230094
Lithobates catesbeianus,-76.424324,38.388388
Lithobates catesbeianus,-94.634858,30.581385
Lithobates catesbeianus,-80.690765,35.21487
Lithobates catesbeianus,-122.188189,47.590604
Lithobates catesbeianus,-70.133247,44.674933
Lithobates catesbeianus,-123.948115,48.778222
Lithobates catesbeianus,-90.123505,29.79372
Lithobates catesbeianus,-81.848898,41.439403
Lithobates catesbeianus,-80.334502,43.26595
Lithobates catesbeianus,-81.886641,41.400947
Lithobates catesbeianus,-122.318087,46.98347
Lithobates catesbeianus,-81.385729,41.159476
Lithobates catesbeianus,-74.630783,42.671806
Lithobates catesbeianus,-76.418892,42.329475
Lithobates catesbeianus,-94.146798,30.501817
Lithobates catesbeianus,-83.297969,33.833443
